Address,City,County Name,Healthcare Personnel Influenza Vaccination\x0;,Hospital Name,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,Provider Number,State,ZIP Code,% Patients discharged on multiple antipsychotic medications with appropriate justification\x0;,% Post discharge continuing care plan created,% Post discharge continuing care plan transmitted to next level of careprovider upon discharge,Number of Records,Physical-restraint use\x0;ratio (hrs),Post-discharge care,Seclusion ratio (hrs)
2600 CENTER STREET NE,SALEM,Marion,Not Available,OREGON STATE HOSPITAL DISTINCT PART,Not Available,384008,OR,97310,,1,0,1,0.45,Lowest,1.26
10300 SW EASTRIDGE STREET,PORTLAND,Washington,61,CEDAR HILLS HOSPITAL,55.56%,384012,OR,97225,,0.9364,0.9364,1,0.02,Lowest,0.03
1822 MULBERRY STREET,SCRANTON,Lackawanna,95,GEISINGER - COMMUNITY MEDICAL CENTER,68.31%,390001,PA,18510,81.25,0.9174,0.9141,1,0.01,Lowest,4.75
549 EAST FAIR STREET,BLOOMSBURG,Columbia,100,GEISINGER - BLOOMSBURG HOSPITAL,38.10%,390003,PA,17815,,0.8981,0.8871,1,0.4,Lowest,0.55
503 NORTH 21ST STREET,CAMP HILL,Cumberland,84,HOLY SPIRIT HOSPITAL,62.32%,390004,PA,17011,,0.9927,0.8504,1,0.63,Lowest,0.16
100 NORTH ACADEMY AVENUE,DANVILLE,Montour,95,GEISINGER MEDICAL CENTER,55.49%,390006,PA,17822,85.71,0.9665,0.9591,1,0.02,Lowest,0.5
724 PERSHING STREET,ELLWOOD CITY,Lawrence,80,ELLWOOD CITY HOSPITAL,Not Available,390008,PA,16117,,1,1,1,0.38,Lowest,0
232 WEST 25TH STREET,ERIE,Erie,100,SAINT VINCENT HOSPITAL,38.24%,390009,PA,16544,,0.9894,0.9894,1,0.55,Lowest,0
1211 WILMINGTON AVENUE,NEW CASTLE,Lawrence,61,JAMESON MEMORIAL HOSPITAL,78.95%,390016,PA,16105,38.89,0.9811,0.9622,1,2.05,Lowest,12.96
135 LAFAYETTE AVENUE,PALMERTON,Carbon,70,PALMERTON HOSPITAL,43.24%,390019,PA,18071,70.37,0.9438,0.938,1,0,Lowest,0
8835 GERMANTOWN AVE,PHILADELPHIA,Philadelphia,69,CHESTNUT HILL HOSPITAL,Not Available,390026,PA,19118,,0.8779,0.8732,1,0,Lowest,0
3401 NORTH BROAD STREET,PHILADELPHIA,Philadelphia,98,TEMPLE UNIVERSITY HOSPITAL,39.08%,390027,PA,19140,,0.9278,0.9163,1,1.18,Lowest,0
700 EAST NORWEGIAN STREET,POTTSVILLE,Schuylkill,95,SCHUYLKILL MEDICAL CENTER - NORWEGIAN STREET,55.56%,390031,PA,17901,14.15,1,0.9939,1,0,Lowest,0
1301 CARLISLE ST,NATRONA,Allegheny,84,ALLEGHENY VALLEY HOSPITAL,52.46%,390032,PA,15065,100,0.9404,0.9139,1,28.38,Lowest,0.67
1000 DUTCH RIDGE ROAD,BEAVER,Beaver,62,HERITAGE VALLEY BEAVER,46.67%,390036,PA,15009,70.83,0.9159,0.9159,1,0.02,Lowest,0.23
720 BLACKBURN ROAD,SEWICKLEY,Allegheny,58,HERITAGE VALLEY SEWICKLEY,64.10%,390037,PA,15143,,0.6693,0.6653,1,0.02,Lowest,0
225 SOUTH CENTER AVENUE,SOMERSET,Somerset,97,SOMERSET HOSPITAL,44.93%,390039,PA,15501,,0.9907,0.8551,1,8.46,Lowest,14.3
155 WILSON AVENUE,WASHINGTON,Washington,63,"WASHINGTON HOSPITAL, THE",57.89%,390042,PA,15301,68.18,0.283,0.2799,1,0.23,Lowest,0.14
6TH AVE AND SPRUCE ST,WEST READING,Berks,100,READING HOSPITAL,52.10%,390044,PA,19611,71.79,0.8695,0.8438,1,1.99,Lowest,0
1001 SOUTH GEORGE STREET,YORK,York,99,YORK HOSPITAL,53.78%,390046,PA,17403,70,0.8192,0.7013,1,0.06,Lowest,0.55
400 HIGHLAND AVENUE,LEWISTOWN,Mifflin,95,GEISINGER-LEWISTOWN HOSPITAL,69.05%,390048,PA,17044,,0.8257,0.7156,1,0.14,Lowest,0.06
801 OSTRUM STREET,BETHLEHEM,Northampton,98,ST LUKE'S HOSPITAL BETHLEHEM,52.76%,390049,PA,18015,30.56,0.4465,0.3504,1,0.18,Lowest,0.03
809 TURNPIKE AVE,CLEARFIELD,Clearfield,100,CLEARFIELD HOSPITAL,61.11%,390052,PA,16830,,0.6444,0.6389,1,0,Lowest,0
1225 WARM SPRINGS AVE,HUNTINGDON,Huntingdon,91,J C BLAIR MEMORIAL HOSPITAL,70.83%,390056,PA,16652,,0.9731,0.9194,1,0.09,Lowest,0
250 COLLEGE AVENUE,LANCASTER,Lancaster,66,LANCASTER REGIONAL MEDICAL CENTER,67.86%,390061,PA,17604,93.75,0.8836,0.8562,1,0.21,Lowest,0.9
501 BATH ROAD,BRISTOL,Bucks,100,LOWER BUCKS HOSPITAL,59.23%,390070,PA,19007,,0.9939,0.9857,1,0.14,Lowest,0.31
701 EAST 16TH STREET,BERWICK,Columbia,Not Available,BERWICK HOSPITAL CENTER,54.55%,390072,PA,18603,,1,1,1,0,Lowest,0
201 REECEVILLE ROAD,COATESVILLE,Chester,87,BRANDYWINE HOSPITAL,66.67%,390076,PA,19320,,0.913,0.913,1,0,Lowest,0.37
100 FAIRFIELD DRIVE,SENECA,Venango,100,UPMC NORTHWEST,61.90%,390091,PA,16346,84.62,1,0.9839,1,0.25,Lowest,0.05
1648 HUNTINGDON PIKE,MEADOWBROOK,Montgomery,99,HOLY REDEEMER HOSPITAL AND MEDICAL CENTER,52.38%,390097,PA,19046,,0.9917,0.9532,1,0,Lowest,0
555 NORTH DUKE STREET,LANCASTER,Lancaster,99,LANCASTER GENERAL HOSPITAL,55.56%,390100,PA,17602,,0.6709,0.5144,1,0.2,Lowest,1.84
1086 FRANKLIN STREET,JOHNSTOWN,Cambria,99,CONEMAUGH MEMORIAL MEDICAL CENTER,41.07%,390110,PA,15905,88.89,0.9734,0.9588,1,0.11,Lowest,0
2701 DEKALB PIKE,NORRISTOWN,Montgomery,92,SUBURBAN COMMUNITY HOSPITAL,55.56%,390116,PA,19401,,1,1,1,0.19,Lowest,0
700 QUINCY AVENUE,SCRANTON,Lackawanna,76,MOSES TAYLOR HOSPITAL,71.29%,390119,PA,18510,,1,0.9871,1,0,Lowest,0.09
1600 EAST HIGH STREET AND ARMAND HAMMER BLVD,POTTSTOWN,Montgomery,84,POTTSTOWN MEMORIAL MEDICAL CENTER,72.03%,390123,PA,19464,42.86,0.3994,0.375,1,0.26,Lowest,0
17TH AND CHEW STREET,ALLENTOWN,Lehigh,99,LEHIGH VALLEY HOSPITAL,62.59%,390133,PA,18105,,0.5872,0.5262,1,1.7,Lowest,1.79
130 SOUTH BRYN MAWR AVE,BRYN MAWR,Montgomery,100,BRYN MAWR HOSPITAL,74.80%,390139,PA,19010,,0.771,0.7176,1,1.55,Lowest,0.06
5501 OLD YORK ROAD,PHILADELPHIA,Philadelphia,100,ALBERT EINSTEIN MEDICAL CENTER,45.06%,390142,PA,19141,,0.5146,0.1505,1,1.7,Lowest,0
TWO CRESCENT PARK WEST,WARREN,Warren,100,WARREN GENERAL HOSPITAL,69.64%,390146,PA,16365,37.84,,,1,0.06,Lowest,0.11
1163 COUNTRY CLUB ROAD,MONONGAHELA,Washington,58,MONONGAHELA VALLEY HOSPITAL,42.62%,390147,PA,15063,96.94,0.997,0.9833,1,1,Lowest,1
350 BONAR AVENUE,WAYNESBURG,Greene,55,WASHINGTON HEALTH SYSTEM GREENE,50.98%,390150,PA,15370,92.31,0.9848,0.9833,1,0.76,Lowest,0.01
112 NORTH SEVENTH STREET,CHAMBERSBURG,Franklin,88,CHAMBERSBURG HOSPITAL,69.05%,390151,PA,17201,,0.9207,0.8963,1,0.07,Lowest,0
LANSDOWNE & BAILY RDS,DARBY,Delaware,99,MERCY FITZGERALD HOSPITAL,58.86%,390156,PA,19023,100,0.9216,0.8919,1,0.89,Lowest,0
25 HECKEL ROAD,MCKEES ROCKS,Allegheny,98,OHIO VALLEY GENERAL HOSPITAL,55.17%,390157,PA,15136,,0.9008,0.9008,1,1.05,Lowest,0.57
250 SOUTH 21ST STREET,EASTON,Northampton,29,EASTON HOSPITAL,Not Available,390162,PA,18042,,0.8214,0.5357,1,0.97,Lowest,0
200 LOTHROP STREET,PITTSBURGH,Allegheny,93,UPMC PRESBYTERIAN SHADYSIDE,57.20%,390164,PA,15213,64.29,1,0.9844,1,0.29,Lowest,1.47
ONE HOSPITAL WAY,BUTLER,Butler,90,BUTLER MEMORIAL HOSPITAL,Not Available,390168,PA,16001,,0.9644,0.9253,1,0.03,Lowest,0
"835 HOSPITAL ROAD,  PO BOX 788 ",INDIANA,Indiana,89,INDIANA REGIONAL MEDICAL CENTER,72.22%,390173,PA,15701,36.36,0.7025,0.6104,1,5.55,Lowest,0
111 SOUTH 11TH STREET,PHILADELPHIA,Philadelphia,95,THOMAS JEFFERSON UNIVERSITY HOSPITAL,50.42%,390174,PA,19107,,1,0.996,1,2.61,Lowest,2.3
ONE MEDICAL CENTER BOULEVARD,UPLAND,Delaware,92,CROZER CHESTER MEDICAL CENTER,54.60%,390180,PA,19013,,0.9824,0.9824,1,2.27,Lowest,6.39
421 CHEW STREET,ALLENTOWN,Lehigh,100,SACRED HEART HOSPITAL,52.08%,390197,PA,18102,82.14,0.9946,0.9946,1,0.23,Lowest,0
206 EAST BROWN STREET,EAST STROUDSBURG,Monroe,85,POCONO MEDICAL CENTER,38.53%,390201,PA,18301,89.86,0.9903,0.9201,1,1.6,Lowest,17.23
51 NORTH 39TH STREET,PHILADELPHIA,Philadelphia,79,PENN PRESBYTERIAN MEDICAL CENTER,38.71%,390223,PA,19104,,0.9904,0.7933,1,0,Lowest,0
169 MARTIN AVENUE,EPHRATA,Lancaster,100,EPHRATA COMMUNITY HOSPITAL,79.17%,390225,PA,17522,,0.937,0.5926,1,0,Lowest,45.94
800 SPRUCE STREET,PHILADELPHIA,Philadelphia,93,PENNSYLVANIA HOSPITAL,53.64%,390226,PA,19107,,0.8946,0.8618,1,0.18,Lowest,0.54
1000 BOWER HILL ROAD,PITTSBURGH,Allegheny,79,ST CLAIR HOSPITAL,62.50%,390228,PA,15243,31.58,0.1324,0.122,1,1.26,Lowest,0.38
1200 OLD YORK ROAD,ABINGTON,Montgomery,100,ABINGTON MEMORIAL HOSPITAL,66.28%,390231,PA,19001,57.89,0.7739,0.7668,1,2.77,Lowest,0.83
565 COAL VALLEY RD,JEFFERSON HILLS,Allegheny,50,JEFFERSON HOSPITAL,55.56%,390265,PA,15025,,0.9639,0.9357,1,0.47,Lowest,0
2570 HAYMAKER ROAD,MONROEVILLE,Allegheny,72,FORBES HOSPITAL,71.59%,390267,PA,15146,57.78,0.4266,0.3777,1,2.65,Lowest,1.55
1800 EAST PARK AVE,STATE COLLEGE,Centre,95,MOUNT NITTANY MEDICAL CENTER,64.44%,390268,PA,16803,,0.8874,0.8463,1,0.02,Lowest,0.06
100 EAGLEVILLE RD,EAGLEVILLE,Montgomery,89,EAGLEVILLE HOSPITAL,52.86%,390278,PA,19403,97.22,0.9613,0.6006,1,0,Lowest,0
230 N BROAD ST,PHILADELPHIA,Philadelphia,98,HAHNEMANN UNIVERSITY HOSPITAL,33.33%,390290,PA,19102,,1,0.995,1,0.13,Lowest,0
5800 RIDGE AVE,PHILADELPHIA,Philadelphia,100,ROXBOROUGH MEMORIAL HOSPITAL,37.50%,390304,PA,19128,,1,1,1,0,Lowest,0
100 HOSPITAL ROAD,BROOKVILLE,Jefferson,96,PENN HIGHLANDS BROOKVILLE,52.38%,391312,PA,15825,,0.9822,0.9511,1,,Lowest,
1001 EAST SECOND STREET,COUDERSPORT,Potter,100,CHARLES COLE MEMORIAL HOSPITAL,Not Available,391313,PA,16915,82.93,0.9856,0.9856,1,0,Lowest,0
763 JOHNSONBURG ROAD,SAINT MARYS,Elk,Not Available,PENN HIGHLANDS ELK,Not Available,391315,PA,15857,,1,1,1,0,Lowest,0
1001 STERIGERE STREET,NORRISTOWN,Montgomery,51,NORRISTOWN STATE HOSPITAL,Not Available,394001,PA,19401,100,0.9364,0.9455,1,0,Lowest,0
200 STATE HOSPITAL DRIVE,DANVILLE,Montour,64,DANVILLE STATE HOSPITAL,Not Available,394004,PA,17821,100,0.9878,0.9878,1,0.01,Lowest,0
111 N 49TH ST,PHILADELPHIA,Philadelphia,51,KIRKBRIDE CENTER,Not Available,394007,PA,19139,,1,1,1,0,Lowest,0
4641 ROOSEVELT BOULEVARD,PHILADELPHIA,Philadelphia,57,FRIENDS HOSPITAL,44.23%,394008,PA,19124,85.71,0.9968,0.9888,1,0.08,Lowest,0
1451 HILLSIDE DRIVE,CLARKS SUMMIT,Lackawanna,60,CLARKS SUMMIT STATE HOSPITAL,Not Available,394012,PA,18411,100,1,1,1,0,Lowest,0
160 MAIN STREET,WERNERSVILLE,Berks,69,WERNERSVILLE STATE HOSPITAL,Not Available,394014,PA,19565,47.83,1,1,1,0.02,Lowest,0
33 MAIN DRIVE,NORTH WARREN,Warren,49,WARREN STATE HOSPITAL,Not Available,394016,PA,16365,,0.9785,0.9785,1,0.01,Lowest,0
283 SOUTH BUTLER ROAD,MT GRETNA,Lebanon,60,PHILHAVEN HOSPITAL,57.26%,394020,PA,17064,43.84,0.9941,0.9736,1,0.21,Lowest,0.45
4200 MONUMENT AVENUE,PHILADELPHIA,Philadelphia,99,BELMONT BEHAVIORAL HOSPITAL,46.39%,394023,PA,19131,,0.8949,0.8011,1,0.26,Lowest,0
121 LONGVIEW DRIVE,TORRANCE,Westmoreland,49,TORRANCE STATE HOSPITAL,Not Available,394026,PA,15779,,0.9872,0.9277,1,0.02,Lowest,0
561 FAIRTHORNE AVENUE,PHILADELPHIA,Philadelphia,45,FAIRMOUNT BEHAVIORAL HEALTH SYSTEM,43.26%,394027,PA,19128,43.86,0.9921,0.9654,1,0.2,Lowest,0
50 BEECH DRIVE,NORRISTOWN,Montgomery,49,"MONTGOMERY COUNTY EMERGENCY SERVICE, INC",56.09%,394033,PA,19403,,0.7416,0.7401,1,0.05,Lowest,0.06
722 EAST BUTLER PIKE,AMBLER,Montgomery,66,HORSHAM CLINIC,48.74%,394034,PA,19002,60.87,0.9367,0.8467,1,0.08,Lowest,0.05
833 EAST BUTLER AVE,DOYLESTOWN,Bucks,66,FOUNDATIONS BEHAVIORAL HEALTH,Not Available,394038,PA,18901,,1,0.9908,1,0.11,Lowest,0
562 WYOMING AVENUE,KINGSTON,Luzerne,33,FIRST HOSPITAL OF WYOMING VALLEY,63.51%,394039,PA,18704,,0.9949,0.9873,1,0.13,Lowest,0.05
132 MEADOWS DRIVE,CENTRE HALL,Centre,65,MEADOWS PSYCHIATRIC CENTER,63.69%,394040,PA,16828,93.62,1,0.9757,1,0.18,Lowest,0
TWO HOSPITAL DR RD#3 BOX 188,CLARION,Clarion,68,CLARION PSYCHIATRIC CENTER,54.43%,394043,PA,16214,91.67,0.9928,0.9799,1,0.06,Lowest,0
1100 GRAMPIAN BOULEVARD,WILLIAMSPORT,Lycoming,97,DIVINE PROVIDENCE HOSPITAL,59.30%,394048,PA,17701,100,0.9663,0.9326,1,0.07,Lowest,0
7170 LAFAYETTE AVENUE,FORT WASHINGTON,Montgomery,49,BROOKE GLEN BEHAVIORAL HOSPITAL,45.42%,394049,PA,19034,100,1,0.9761,1,0.1,Lowest,0.02
601 ROXBURY ROAD,SHIPPENSBURG,Cumberland,95,ROXBURY TREATMENT CENTER,50.54%,394050,PA,17257,,0.9887,0.9245,1,0.07,Lowest,0.02
2501 NORTH THIRD STREET,HARRISBURG,Dauphin,78,PENNSYLVANIA PSYCHIATRIC INSTITUTE,58.18%,394051,PA,17110,20.9,0.9994,0.7523,1,2.16,Lowest,0.2
145 NORTH 6TH STREET,READING,Berks,97,HAVEN BEHAVIORAL HOSPITAL OF EASTERN PENNSYLVANIA,52.55%,394052,PA,19601,75.24,0.9885,0.9447,1,0.04,Lowest,0
3300 HENRY AVENUE UNIT 4,PHILADELPHIA,Philadelphia,67,HAVEN BEHAVIORAL HOSPITAL OF PHILADELPHIA,43.94%,394053,PA,19129,,0.7861,0.3324,1,0,Lowest,0
ROAD 128 KM 1.0,YAUCO,Yauco,Not Available,HOSPITAL METROPAVIA DR YAUCO,31.58%,400110,PR,00698,,1,0,1,0.16,Lowest,0
AVE PONCE DE LEON #435 PO BOX 190828,HATO REY,Not Available,76,"HOSPITAL PAVIA HATO REY, INC",23.88%,400128,PR,00917,,0.9829,0.9771,1,0.16,Lowest,0
STATE ROAD 787 KM 1  5,CIDRA,Cidra,78,FIRST HOSPITAL PANAMERICANO,30.57%,404004,PR,00739,,0.9913,0.9059,1,0.39,Lowest,0.03
CARR 877 KM 1 6 CAMINO LAS LOMAS RR2,RIO PIEDRAS,San Juan,53,SAN JUAN CAPESTRANO PSYCIATRIC HOSPITAL,28.87%,404005,PR,00928,100,1,1,1,0.17,Lowest,0.03
108 MUNOZ RIVERA STREET BO BALLAJA,CABO ROJO,Cabo Rojo,Not Available,HOSPITAL PSIQUIATRICO METROPOLITANO CABO ROJO,Not Available,404007,PR,00623,,,,1,,Lowest,
CALLE GUADALUPE 184 (ANTIGUO HOSPITAL SAN LUCAS),PONCE,Ponce,59,INSPIRA BEHAVIOR CARE CORP,Not Available,404008,PR,00733,,1,0.9942,1,0.75,Lowest,0
CARR ESTATAL 14 INTERIOR SARGENTO GERARDO SANTIAGO,AIBONITO,Aibonito,97,CENTRO DE SALUD CONDUCTUAL MENONITA-CIMA,Not Available,404009,PR,00705,,0.9718,0.7643,1,0.31,Lowest,0
825 CHALKSTONE AVENUE,PROVIDENCE,Providence,91,ROGER WILLIAMS MEDICAL CENTER,Not Available,410004,RI,02908,,1,0.9865,1,0,Lowest,0
200 HIGH SERVICE AVENUE,NORTH PROVIDENCE,Providence,90,OUR LADY OF FATIMA HOSPITAL,58.00%,410005,RI,02904,,0.6422,0.6307,1,0.01,Lowest,0.23
11 FRIENDSHIP STREET,NEWPORT,Newport,68,NEWPORT HOSPITAL,45.92%,410006,RI,02840,84.09,0.9239,0.8339,1,0.35,Lowest,0.14
593 EDDY STREET CASE MANAGEMENT,PROVIDENCE,Providence,95,RHODE ISLAND HOSPITAL,46.06%,410007,RI,02902,,0.7479,0.7204,1,0.54,Lowest,0.46
115 CASS AVE,WOONSOCKET,Providence,88,"LANDMARK MEDICAL CENTER,  INC",67.07%,410011,RI,02895,,0.9944,0.9915,1,0,Lowest,0.05
345 BLACKSTONE BLVD,PROVIDENCE,Providence,98,BUTLER HOSPITAL,55.96%,414000,RI,02906,78.95,0.9419,0.8591,1,0.24,Lowest,0.23
1011 VETERANS MEMORIAL PARKWAY,EAST PROVIDENCE,Providence,88,EMMA PENDLETON BRADLEY HOSPITAL,Not Available,414003,RI,02915,,0.749,0.7172,1,1.1,Lowest,0.82
222 S HERLONG AVE,ROCK HILL,York,96,PIEDMONT MEDICAL CENTER,41.77%,420002,SC,29730,,0.9732,0.9732,1,0.08,Lowest,0.03
169 ASHLEY AVE,CHARLESTON,Charleston,93,MUSC MEDICAL CENTER,48.80%,420004,SC,29425,,0.9889,0.6727,1,0.01,Lowest,0.33
5 RICHLAND MEDICAL PARK,COLUMBIA,Richland,100,PALMETTO HEALTH RICHLAND,54.84%,420018,SC,29203,,0.823,0.6549,1,0,Lowest,0.34
800 N FANT ST,ANDERSON,Anderson,100,ANMED HEALTH,49.41%,420027,SC,29621,76.67,0.9029,0.8774,1,0,Lowest,0.18
501 ROBERTSON BOULEVARD,WALTERBORO,Colleton,93,COLLETON MEDICAL CENTER,42.31%,420030,SC,29488,87.5,1,0.9813,1,0.01,Lowest,0
800 W MEETING ST,LANCASTER,Lancaster,Not Available,SPRINGS MEMORIAL HOSPITAL,Not Available,420036,SC,29720,,,,1,,Lowest,
701 CASHUA FERRY ROAD,DARLINGTON,Darlington,48,MCLEOD MEDICAL CENTER DARLINGTON,43.75%,420057,SC,29540,0,0.9644,0.7778,1,0.01,Lowest,0.19
955 RIBAUT RD,BEAUFORT,Beaufort,100,BEAUFORT COUNTY MEMORIAL HOSPITAL,63.89%,420067,SC,29902,100,0.9979,0.9627,1,0,Lowest,0.18
3000 ST MATTHEWS RD BOX 1806,ORANGEBURG,Orangeburg,95,TRMC OF ORANGEBURG & CALHOUN,59.26%,420068,SC,29115,77.5,0.9388,0.9113,1,2.28,Lowest,0
1325 SPRING STREET,GREENWOOD,Greenwood,98,SELF REGIONAL HEALTHCARE,31.58%,420071,SC,29646,,1,1,1,0,Lowest,0
701 GROVE RD,GREENVILLE,Greenville,100,GHS GREENVILLE MEMORIAL HOSPITAL,64.49%,420078,SC,29605,,0.4497,0.3884,1,0,Lowest,0.1
9330 MEDICAL PLAZA DR,CHARLESTON,Charleston,97,TRIDENT MEDICAL CENTER,Not Available,420079,SC,29406,100,0.9827,0.9769,1,0,Lowest,0.1
302 UNIVERSITY PARKWAY,AIKEN,Aiken,98,AIKEN REGIONAL MEDICAL CENTER,57.33%,420082,SC,29801,,0.8506,0.8325,1,0.03,Lowest,0.01
1700 SKYLYN DR PO BOX 3217,SPARTANBURG,Spartanburg,77,MARY BLACK HEALTH SYSTEM SPARTANBURG,Not Available,420083,SC,29307,,0.8827,0.8715,1,0,Lowest,0
TAYLOR AT MARION ST,COLUMBIA,Richland,97,PALMETTO HEALTH BAPTIST,65.71%,420086,SC,29220,,0.5365,0.4651,1,0,Lowest,0.04
152 WACCAMAW MEDICAL PARK DRIVE,CONWAY,Horry,62,LIGHTHOUSE CARE CENTER OF CONWAY,39.17%,424002,SC,29526,63.89,0.9825,0.9639,1,0.02,Lowest,0
220 FAISON DR,COLUMBIA,Richland,62,G WERBER BRYAN PSYCH HOSP,56.41%,424005,SC,29203,49.12,0.9444,0.9259,1,0.15,Lowest,0.3
2777 SPEISSEGGER DRIVE,CHARLESTON,Charleston,66,PALMETTO LOWCOUNTRY BEHAVIORAL HEALTH,55.51%,424006,SC,29405,,0.9331,0.8671,1,0.01,Lowest,0.04
ONE HAVENWOOD LANE  PO BOX 1005,TRAVELERS REST,Greenville,31,SPRINGBROOK BEHAVIORAL HEALTH SYSTEM,42.50%,424007,SC,29690,81.4,0.9786,0.8374,1,0,Lowest,0.01
2900 SUNSET BOULEVARD,WEST COLUMBIA,Lexington,60,THREE RIVERS BEHAVIORAL HEALTH,48.11%,424008,SC,29169,68.75,0.9432,0.9273,1,0.02,Lowest,0.25
2700 E PHILLIPS RD,GREER,Greenville,76,"CAROLINA CTR FOR BEHAVIORAL HEALTH,THE",45.82%,424010,SC,29650,,0.9956,0.9507,1,0.02,Lowest,0
130 HIGHWAY 252,ANDERSON,Anderson,69,PATRICK B HARRIS PSYCHIATRIC HOSPITAL,56.52%,424011,SC,29622,100,1,1,1,0.1,Lowest,0.32
134 EAST REBOUND ROAD,LANCASTER,Lancaster,82,REBOUND BEHAVIORAL HEALTH,43.10%,424014,SC,29720,,0.9563,0.8135,1,0.01,Lowest,0.01
305 S STATE ST BOX 4450,ABERDEEN,Brown,100,AVERA ST LUKES,71.83%,430014,SD,57401,,1,0.9857,1,0,Lowest,0
1325 S. CLIFF AVENUE PO BOX 5045,SIOUX FALLS,Not Available,96,AVERA MCKENNAN HOSPITAL & UNIVERSITY HEALTH CENTER,68.33%,430016,SD,57117,,0.9813,0.9366,1,0,Lowest,0
353 FAIRMONT BLVD,RAPID CITY,Pennington,100,RAPID CITY REGIONAL HOSPITAL,52.38%,430077,SD,57701,,0.563,0.4891,1,4,Lowest,181.14
3515 BROADWAY AVE   POST OFFICE BOX 7600,YANKTON,Yankton,96,SOUTH DAKOTA HUMAN SERVICES CENTER,49.00%,434003,SD,57078,64,0.9253,0.9253,1,0.94,Lowest,1.85
555 HARTSVILLE PIKE,GALLATIN,Sumner,91,SUMNER REGIONAL MEDICAL CENTER,Not Available,440003,TN,37066,,1,0.9852,1,0,Lowest,0
907 E LAMAR ALEXANDER PKWY,MARYVILLE,Blount,69,BLOUNT MEMORIAL HOSPITAL,53.57%,440011,TN,37804,,0.852,0.8251,1,0,Lowest,0.14
1 MEDICAL PARK BLVD,BRISTOL,Sullivan,100,WELLMONT BRISTOL REGIONAL MEDICAL CENTER,46.27%,440012,TN,37620,,0.9971,0.9912,1,0.03,Lowest,0.05
631 RB WILSON DR,HUNTINGDON,Carroll,98,BAPTIST MEMORIAL HOSPITAL HUNTINGDON,Not Available,440016,TN,38344,,0.9929,0.9787,1,,Lowest,
1501 W ELK AVE,ELIZABETHTON,Carter,100,SYCAMORE SHOALS HOSPITAL,Not Available,440018,TN,37643,,0.991,0.9731,1,62.42,Lowest,0
1265 E COLLEGE ST,PULASKI,Giles,95,SOUTHERN TENNESSEE REGIONAL HEALTH SYSTEM PULASKI,77.27%,440020,TN,38478,,0.9945,0.9891,1,0,Lowest,0
951 COURT AVE,MEMPHIS,Shelby,81,MEMPHIS MENTAL HEALTH INSTITUTE,24.42%,444001,TN,38103,,0.9968,0.8248,1,0.99,Lowest,0.12
908 W 4TH NORTH ST,MORRISTOWN,Hamblen,79,MORRISTOWN HAMBLEN HOSPITAL ASSOCIATION,Not Available,440030,TN,37814,,0.9907,0.9721,1,0,Lowest,0
923 E CENTRAL AVE,LA FOLLETTE,Campbell,88,LAFOLLETTE MEDICAL CENTER,37.29%,440033,TN,37766,82.14,0.8115,0.7131,1,0,Lowest,0
1211 22ND AVE S B334 VUH,NASHVILLE,Davidson,99,VANDERBILT UNIVERSITY HOSPITAL,61.09%,440039,TN,37232,,0.7257,0.528,1,0.09,Lowest,0.11
2718 SQUIRREL HOLLOW DR,LINDEN,Perry,94,PERRY COMMUNITY HOSPITAL,Not Available,440040,TN,37096,66.67,1,0.9748,1,0,Lowest,0
1265 UNION AVE SUITE 700,MEMPHIS,Shelby,97,METHODIST HEALTHCARE MEMPHIS HOSPITALS,23.26%,440049,TN,38104,,0.9765,0.9608,1,0,Lowest,0
401 TAKOMA AVE,GREENEVILLE,Greene,92,TAKOMA REGIONAL HOSPITAL,50.00%,440050,TN,37743,0,0.986,0.986,1,0.3,Lowest,0
185 HOSPITAL RD,WINCHESTER,Franklin,85,SOUTHERN TENNESSEE REGIONAL HLTH SYSTEM WINCHESTER,Not Available,440058,TN,37398,,0.9937,0.9937,1,0,Lowest,0
400 N STATE OF FRANKLIN RD,JOHNSON CITY,Washington,98,JOHNSON CITY MEDICAL CENTER,40.00%,440063,TN,37604,,0.9965,0.9877,1,0.08,Lowest,0
1114 W MADISON AVE,ATHENS,McMinn,88,STARR REGIONAL MEDICAL CENTER ATHENS,Not Available,440068,TN,37371,,0.9805,0.9689,1,0,Lowest,0
4220 HARDING RD,NASHVILLE,Davidson,88,SAINT THOMAS WEST HOSPITAL,70.83%,440082,TN,37205,,0.6149,0.3736,1,95.9,Lowest,0
436 CENTRAL AVE W,JAMESTOWN,Fentress,Not Available,TENNOVA HEALTHCARE - JAMESTOWN,50.00%,440083,TN,38556,,0.9438,0.9063,1,0,Lowest,0
8200 WALNUT HILL LANE,DALLAS,Dallas,88,TEXAS HEALTH PRESBYTERIAN HOSPITAL DALLAS,54.80%,450462,TX,75231,84.72,0.6592,0.5632,1,0.04,Lowest,0
106 MEDICAL CENTER BLVD,FAYETTEVILLE,Lincoln,Not Available,LINCOLN MEDICAL CENTER,Not Available,440102,TN,37334,,,,1,0,Lowest,0
975 E 3RD ST,CHATTANOOGA,Hamilton,100,ERLANGER MEDICAL CENTER,Not Available,440104,TN,37403,,0.9955,1,1,0,Lowest,0
